 symboling;normalized-losses;make;fuel-type;aspiration;num-of-doors;body-style;drive-wheels;engine-location;wheel-base;length;width;height;curb-weight;engine-type;num-of-cylinders
3;122;alfa-romero;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four
3;122;alfa-romero;gas;std;two;convertible;rwd;front;886;1688;641;488;2548;dohc;four
1;122;alfa-romero;gas;std;two;hatchback;rwd;front;945;1712;655;524;2823;ohcv;six
2;164;audi;gas;std;four;sedan;fwd;front;998;1766;662;543;2337;ohc;four
2;164;audi;gas;std;four;sedan;4wd;front;994;1766;664;543;2824;ohc;five
2;122;audi;gas;std;two;sedan;fwd;front;998;1773;663;531;2507;ohc;five
1;158;audi;gas;std;four;sedan;fwd;front;1058;1927;714;557;2844;ohc;five
1;122;audi;gas;std;four;wagon;fwd;front;1058;1927;714;557;2954;ohc;five
1;158;audi;gas;turbo;four;sedan;fwd;front;1058;1927;714;559;3086;ohc;five
2;192;bmw;gas;std;two;sedan;rwd;front;1012;1768;648;543;2395;ohc;four
0;192;bmw;gas;std;four;sedan;rwd;front;1012;1768;648;543;2395;ohc;four
0;188;bmw;gas;std;two;sedan;rwd;front;1012;1768;648;543;2710;ohc;six
0;188;bmw;gas;std;four;sedan;rwd;front;1012;1768;648;543;2765;ohc;six
1;122;bmw;gas;std;four;sedan;rwd;front;1035;1890;669;557;3055;ohc;six
0;122;bmw;gas;std;four;sedan;rwd;front;1035;1890;669;557;3230;ohc;six
0;122;bmw;gas;std;two;sedan;rwd;front;1035;1938;679;537;3380;ohc;six
0;122;bmw;gas;std;four;sedan;rwd;front;1100;1970;709;563;3505;ohc;six
2;121;chevrolet;gas;std;two;hatchback;fwd;front;884;1411;603;532;1488;l;three
1;98;chevrolet;gas;std;two;hatchback;fwd;front;945;1559;636;520;1874;ohc;four
0;81;chevrolet;gas;std;four;sedan;fwd;front;945;1588;636;520;1909;ohc;four
1;118;dodge;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four
1;118;dodge;gas;std;two;hatchback;fwd;front;937;1573;638;508;1876;ohc;four
1;118;dodge;gas;turbo;two;hatchback;fwd;front;937;1573;638;508;2128;ohc;four
1;148;dodge;gas;std;four;hatchback;fwd;front;937;1573;638;506;1967;ohc;four
1;148;dodge;gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four
1;148;dodge;gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four
1;148;dodge;gas;turbo;four;sedan;fwd;front;937;1573;638;506;2191;ohc;four
-1;110;dodge;gas;std;four;wagon;fwd;front;1033;1746;646;598;2535;ohc;four
3;145;dodge;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2811;ohc;four
2;137;honda;gas;std;two;hatchback;fwd;front;866;1446;639;508;1713;ohc;four
2;137;honda;gas;std;two;hatchback;fwd;front;866;1446;639;508;1819;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1837;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1940;ohc;four
1;101;honda;gas;std;two;hatchback;fwd;front;937;1500;640;526;1956;ohc;four
0;110;honda;gas;std;four;sedan;fwd;front;965;1634;640;545;2010;ohc;four
0;78;honda;gas;std;four;wagon;fwd;front;965;1571;639;583;2024;ohc;four
0;106;honda;gas;std;two;hatchback;fwd;front;965;1675;652;533;2236;ohc;four
0;106;honda;gas;std;two;hatchback;fwd;front;965;1675;652;533;2289;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;652;541;2304;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;625;541;2372;ohc;four
0;85;honda;gas;std;four;sedan;fwd;front;965;1754;652;541;2465;ohc;four
1;107;honda;gas;std;two;sedan;fwd;front;965;1691;660;510;2293;ohc;four
0;122;isuzu;gas;std;four;sedan;rwd;front;943;1707;618;535;2337;ohc;four
2;122;isuzu;gas;std;two;hatchback;rwd;front;960;1726;652;514;2734;ohc;four
0;145;jaguar;gas;std;four;sedan;rwd;front;1130;1996;696;528;4066;dohc;six
0;122;jaguar;gas;std;four;sedan;rwd;front;1130;1996;696;528;4066;dohc;six
0;122;jaguar;gas;std;two;sedan;rwd;front;1020;1917;706;478;3950;ohcv;twelve
1;104;mazda;gas;std;two;hatchback;fwd;front;931;1591;642;541;1890;ohc;four
1;104;mazda;gas;std;two;hatchback;fwd;front;931;1591;642;541;1900;ohc;four
1;104;mazda;gas;std;two;hatchback;fwd;front;931;1591;642;541;1905;ohc;four
1;113;mazda;gas;std;four;sedan;fwd;front;931;1668;642;541;1945;ohc;four
1;113;mazda;gas;std;four;sedan;fwd;front;931;1668;642;541;1950;ohc;four
3;150;mazda;gas;std;two;hatchback;rwd;front;953;1690;657;496;2380;rotor;two
3;150;mazda;gas;std;two;hatchback;rwd;front;953;1690;657;496;2380;rotor;two
3;150;mazda;gas;std;two;hatchback;rwd;front;953;1690;657;496;2385;rotor;two
3;150;mazda;gas;std;two;hatchback;rwd;front;953;1690;657;496;2500;rotor;two
1;129;mazda;gas;std;two;hatchback;fwd;front;988;1778;665;537;2385;ohc;four
0;115;mazda;gas;std;four;sedan;fwd;front;988;1778;665;555;2410;ohc;four
1;129;mazda;gas;std;two;hatchback;fwd;front;988;1778;665;537;2385;ohc;four
0;115;mazda;gas;std;four;sedan;fwd;front;988;1778;665;555;2410;ohc;four
0;122;mazda;diesel;std;four;sedan;fwd;front;988;1778;665;555;2443;ohc;four
0;115;mazda;gas;std;four;hatchback;fwd;front;988;1778;665;555;2425;ohc;four
0;118;mazda;gas;std;four;sedan;rwd;front;1049;1750;661;544;2670;ohc;four
0;122;mazda;diesel;std;four;sedan;rwd;front;1049;1750;661;544;2700;ohc;four
-1;93;mercedes-benz;diesel;turbo;four;sedan;rwd;front;1100;1909;703;565;3515;ohc;five
-1;93;mercedes-benz;diesel;turbo;four;wagon;rwd;front;1100;1909;703;587;3750;ohc;five
0;93;mercedes-benz;diesel;turbo;two;hardtop;rwd;front;1067;1875;703;549;3495;ohc;five
-1;93;mercedes-benz;diesel;turbo;four;sedan;rwd;front;1156;2026;717;563;3770;ohc;five
-1;122;mercedes-benz;gas;std;four;sedan;rwd;front;1156;2026;717;565;3740;ohcv;eight
3;142;mercedes-benz;gas;std;two;convertible;rwd;front;966;1803;705;508;3685;ohcv;eight
0;122;mercedes-benz;gas;std;four;sedan;rwd;front;1209;2081;717;567;3900;ohcv;eight
1;122;mercedes-benz;gas;std;two;hardtop;rwd;front;1120;1992;720;554;3715;ohcv;eight
1;122;mercury;gas;turbo;two;hatchback;rwd;front;1027;1784;680;548;2910;ohc;four
2;161;mitsubishi;gas;std;two;hatchback;fwd;front;937;1573;644;508;1918;ohc;four
2;161;mitsubishi;gas;std;two;hatchback;fwd;front;937;1573;644;508;1944;ohc;four
2;161;mitsubishi;gas;std;two;hatchback;fwd;front;937;1573;644;508;2004;ohc;four
1;161;mitsubishi;gas;turbo;two;hatchback;fwd;front;930;1573;638;508;2145;ohc;four
3;153;mitsubishi;gas;turbo;two;hatchback;fwd;front;963;1730;654;494;2370;ohc;four
3;153;mitsubishi;gas;std;two;hatchback;fwd;front;963;1730;654;494;2328;ohc;four
3;122;mitsubishi;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2833;ohc;four
3;122;mitsubishi;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2921;ohc;four
3;122;mitsubishi;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2926;ohc;four
1;125;mitsubishi;gas;std;four;sedan;fwd;front;963;1724;654;516;2365;ohc;four
1;125;mitsubishi;gas;std;four;sedan;fwd;front;963;1724;654;516;2405;ohc;four
1;125;mitsubishi;gas;turbo;four;sedan;fwd;front;963;1724;654;516;2403;ohc;four
-1;137;mitsubishi;gas;std;four;sedan;fwd;front;963;1724;654;516;2403;ohc;four
1;128;nissan;gas;std;two;sedan;fwd;front;945;1653;638;545;1889;ohc;four
1;128;nissan;diesel;std;two;sedan;fwd;front;945;1653;638;545;2017;ohc;four
1;128;nissan;gas;std;two;sedan;fwd;front;945;1653;638;545;1918;ohc;four
1;122;nissan;gas;std;four;sedan;fwd;front;945;1653;638;545;1938;ohc;four
1;103;nissan;gas;std;four;wagon;fwd;front;945;1702;638;535;2024;ohc;four
1;128;nissan;gas;std;two;sedan;fwd;front;945;1653;638;545;1951;ohc;four
1;128;nissan;gas;std;two;hatchback;fwd;front;945;1656;638;533;2028;ohc;four
1;122;nissan;gas;std;four;sedan;fwd;front;945;1653;638;545;1971;ohc;four
1;103;nissan;gas;std;four;wagon;fwd;front;945;1702;638;535;2037;ohc;four
2;168;nissan;gas;std;two;hardtop;fwd;front;951;1624;638;533;2008;ohc;four
0;106;nissan;gas;std;four;hatchback;fwd;front;972;1734;652;547;2324;ohc;four
0;106;nissan;gas;std;four;sedan;fwd;front;972;1734;652;547;2302;ohc;four
0;128;nissan;gas;std;four;sedan;fwd;front;1004;1817;665;551;3095;ohcv;six
0;108;nissan;gas;std;four;wagon;fwd;front;1004;1846;665;561;3296;ohcv;six
0;108;nissan;gas;std;four;sedan;fwd;front;1004;1846;665;551;3060;ohcv;six
3;194;nissan;gas;std;two;hatchback;rwd;front;913;1707;679;497;3071;ohcv;six
3;194;nissan;gas;turbo;two;hatchback;rwd;front;913;1707;679;497;3139;ohcv;six
1;231;nissan;gas;std;two;hatchback;rwd;front;992;1785;679;497;3139;ohcv;six
0;161;peugot;gas;std;four;sedan;rwd;front;1079;1867;684;567;3020;l;four
0;161;peugot;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3197;l;four
0;122;peugot;gas;std;four;wagon;rwd;front;1142;1989;684;587;3230;l;four
0;122;peugot;diesel;turbo;four;wagon;rwd;front;1142;1989;684;587;3430;l;four
0;161;peugot;gas;std;four;sedan;rwd;front;1079;1867;684;567;3075;l;four
0;161;peugot;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3252;l;four
0;122;peugot;gas;std;four;wagon;rwd;front;1142;1989;684;567;3285;l;four
0;122;peugot;diesel;turbo;four;wagon;rwd;front;1142;1989;684;587;3485;l;four
0;161;peugot;gas;std;four;sedan;rwd;front;1079;1867;684;567;3075;l;four
0;161;peugot;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3252;l;four
0;161;peugot;gas;turbo;four;sedan;rwd;front;1080;1867;683;560;3130;l;four
1;119;plymouth;gas;std;two;hatchback;fwd;front;937;1573;638;508;1918;ohc;four
1;119;plymouth;gas;turbo;two;hatchback;fwd;front;937;1573;638;508;2128;ohc;four
1;154;plymouth;gas;std;four;hatchback;fwd;front;937;1573;638;506;1967;ohc;four
1;154;plymouth;gas;std;four;sedan;fwd;front;937;1673;638;508;1989;ohc;four
1;154;plymouth;gas;std;four;sedan;fwd;front;937;1673;638;508;2191;ohc;four
-1;74;plymouth;gas;std;four;wagon;fwd;front;1033;1746;646;598;2535;ohc;four
3;122;plymouth;gas;turbo;two;hatchback;rwd;front;959;1732;663;502;2818;ohc;four
3;186;porsche;gas;std;two;hatchback;rwd;front;945;1689;683;502;2778;ohc;four
3;122;porsche;gas;std;two;hardtop;rwd;rear;895;1689;650;516;2756;ohcf;six
3;122;porsche;gas;std;two;hardtop;rwd;rear;895;1689;650;516;2756;ohcf;six
3;122;porsche;gas;std;two;convertible;rwd;rear;895;1689;650;516;2800;ohcf;six
0;122;renault;gas;std;four;wagon;fwd;front;961;1815;665;552;2579;ohc;four
2;122;renault;gas;std;two;hatchback;fwd;front;961;1768;666;505;2460;ohc;four
3;150;saab;gas;std;two;hatchback;fwd;front;991;1866;665;561;2658;ohc;four
2;104;saab;gas;std;four;sedan;fwd;front;991;1866;665;561;2695;ohc;four
3;150;saab;gas;std;two;hatchback;fwd;front;991;1866;665;561;2707;ohc;four
2;104;saab;gas;std;four;sedan;fwd;front;991;1866;665;561;2758;ohc;four
3;150;saab;gas;turbo;two;hatchback;fwd;front;991;1866;665;561;2808;dohc;four
2;104;saab;gas;turbo;four;sedan;fwd;front;991;1866;665;561;2847;dohc;four
2;83;subaru;gas;std;two;hatchback;fwd;front;937;1569;634;537;2050;ohcf;four
2;83;subaru;gas;std;two;hatchback;fwd;front;937;1579;636;537;2120;ohcf;four
2;83;subaru;gas;std;two;hatchback;4wd;front;933;1573;638;557;2240;ohcf;four
0;102;subaru;gas;std;four;sedan;fwd;front;972;1720;654;525;2145;ohcf;four
0;102;subaru;gas;std;four;sedan;fwd;front;972;1720;654;525;2190;ohcf;four
0;102;subaru;gas;std;four;sedan;fwd;front;972;1720;654;525;2340;ohcf;four
0;102;subaru;gas;std;four;sedan;4wd;front;970;1720;654;543;2385;ohcf;four
0;102;subaru;gas;turbo;four;sedan;4wd;front;970;1720;654;543;2510;ohcf;four
0;89;subaru;gas;std;four;wagon;fwd;front;970;1735;654;530;2290;ohcf;four
0;89;subaru;gas;std;four;wagon;fwd;front;970;1735;654;530;2455;ohcf;four
0;85;subaru;gas;std;four;wagon;4wd;front;969;1736;654;549;2420;ohcf;four
0;85;subaru;gas;turbo;four;wagon;4wd;front;969;1736;654;549;2650;ohcf;four
1;87;toyota;gas;std;two;hatchback;fwd;front;957;1587;636;545;1985;ohc;four
1;87;toyota;gas;std;two;hatchback;fwd;front;957;1587;636;545;2040;ohc;four
1;74;toyota;gas;std;four;hatchback;fwd;front;957;1587;636;545;2015;ohc;four
0;77;toyota;gas;std;four;wagon;fwd;front;957;1697;636;591;2280;ohc;four
0;81;toyota;gas;std;four;wagon;4wd;front;957;1697;636;591;2290;ohc;four
0;91;toyota;gas;std;four;wagon;4wd;front;957;1697;636;591;3110;ohc;four
0;91;toyota;gas;std;four;sedan;fwd;front;957;1663;644;530;2081;ohc;four
0;91;toyota;gas;std;four;hatchback;fwd;front;957;1663;644;528;2109;ohc;four
0;91;toyota;diesel;std;four;sedan;fwd;front;957;1663;644;530;2275;ohc;four
0;91;toyota;diesel;std;four;hatchback;fwd;front;957;1663;644;528;2275;ohc;four
0;91;toyota;gas;std;four;sedan;fwd;front;957;1663;644;530;2094;ohc;four
0;91;toyota;gas;std;four;hatchback;fwd;front;957;1663;644;528;2122;ohc;four
0;91;toyota;gas;std;four;sedan;fwd;front;957;1663;644;528;2140;ohc;four
1;168;toyota;gas;std;two;sedan;rwd;front;945;1687;640;526;2169;ohc;four
1;168;toyota;gas;std;two;hatchback;rwd;front;945;1687;640;526;2204;ohc;four
1;168;toyota;gas;std;two;sedan;rwd;front;945;1687;640;526;2265;dohc;four
1;168;toyota;gas;std;two;hatchback;rwd;front;945;1687;640;526;2300;dohc;four
2;134;toyota;gas;std;two;hardtop;rwd;front;984;1762;656;520;2540;ohc;four
2;134;toyota;gas;std;two;hardtop;rwd;front;984;1762;656;520;2536;ohc;four
2;134;toyota;gas;std;two;hatchback;rwd;front;984;1762;656;520;2551;ohc;four
2;134;toyota;gas;std;two;hardtop;rwd;front;984;1762;656;520;2679;ohc;four
2;134;toyota;gas;std;two;hatchback;rwd;front;984;1762;656;520;2714;ohc;four
2;134;toyota;gas;std;two;convertible;rwd;front;984;1762;656;530;2975;ohc;four
-1;65;toyota;gas;std;four;sedan;fwd;front;1024;1756;665;549;2326;ohc;four
-1;65;toyota;diesel;turbo;four;sedan;fwd;front;1024;1756;665;549;2480;ohc;four
-1;65;toyota;gas;std;four;hatchback;fwd;front;1024;1756;665;539;2414;ohc;four
-1;65;toyota;gas;std;four;sedan;fwd;front;1024;1756;665;549;2414;ohc;four
-1;65;toyota;gas;std;four;hatchback;fwd;front;1024;1756;665;539;2458;ohc;four
3;197;toyota;gas;std;two;hatchback;rwd;front;1029;1835;677;520;2976;dohc;six
3;197;toyota;gas;std;two;hatchback;rwd;front;1029;1835;677;520;3016;dohc;six
-1;90;toyota;gas;std;four;sedan;rwd;front;1045;1878;665;541;3131;dohc;six
-1;122;toyota;gas;std;four;wagon;rwd;front;1045;1878;665;541;3151;dohc;six
2;122;volkswagen;diesel;std;two;sedan;fwd;front;973;1717;655;557;2261;ohc;four
2;122;volkswagen;gas;std;two;sedan;fwd;front;973;1717;655;557;2209;ohc;four
2;94;volkswagen;diesel;std;four;sedan;fwd;front;973;1717;655;557;2264;ohc;four
2;94;volkswagen;gas;std;four;sedan;fwd;front;973;1717;655;557;2212;ohc;four
2;94;volkswagen;gas;std;four;sedan;fwd;front;973;1717;655;557;2275;ohc;four
2;94;volkswagen;diesel;turbo;four;sedan;fwd;front;973;1717;655;557;2319;ohc;four
2;94;volkswagen;gas;std;four;sedan;fwd;front;973;1717;655;557;2300;ohc;four
3;122;volkswagen;gas;std;two;convertible;fwd;front;945;1593;642;556;2254;ohc;four
3;256;volkswagen;gas;std;two;hatchback;fwd;front;945;1657;640;514;2221;ohc;four
0;122;volkswagen;gas;std;four;sedan;fwd;front;1004;1802;669;551;2661;ohc;five
0;122;volkswagen;diesel;turbo;four;sedan;fwd;front;1004;1802;669;551;2579;ohc;four
0;122;volkswagen;gas;std;four;wagon;fwd;front;1004;1831;669;551;2563;ohc;four
-2;103;volvo;gas;std;four;sedan;rwd;front;1043;1888;672;562;2912;ohc;four
-1;74;volvo;gas;std;four;wagon;rwd;front;1043;1888;672;575;3034;ohc;four
-2;103;volvo;gas;std;four;sedan;rwd;front;1043;1888;672;562;2935;ohc;four
-1;74;volvo;gas;std;four;wagon;rwd;front;1043;1888;672;575;3042;ohc;four
-2;103;volvo;gas;turbo;four;sedan;rwd;front;1043;1888;672;562;3045;ohc;four
-1;74;volvo;gas;turbo;four;wagon;rwd;front;1043;1888;672;575;3157;ohc;four
-1;95;volvo;gas;std;four;sedan;rwd;front;1091;1888;689;555;2952;ohc;four
-1;95;volvo;gas;turbo;four;sedan;rwd;front;1091;1888;688;555;3049;ohc;four
-1;95;volvo;gas;std;four;sedan;rwd;front;1091;1888;689;555;3012;ohcv;six
-1;95;volvo;diesel;turbo;four;sedan;rwd;front;1091;1888;689;555;3217;ohc;six
-1;95;volvo;gas;turbo;four;sedan;rwd;front;1091;1888;689;555;3062;ohc;four
